id	name
Q6632170	People considered father or mother of a scientific field
Q7034480	Manga series
Q6626703	Longest-running American television series
Q5827867	Satellites orbiting Earth
Q3247039	NASA aircraft
Q7777128	Historians of astronomy
Q1514175	Types of sword
Q56926	Fashion designers
Q6620952	Footwear designers
Q56351871	Lunar deities
Q516588	Greek mythological figures
Q289111	Punk rock bands
Q8427931	Criminal duos
Q6148196	Fictional extraterrestrial characters
Q24735548	Fictional countries
Q2750576	Fictional spacecraft
Q7035212	Science fiction characters
Q108061205	Planets in science fiction
Q9536594	Cowboys
Q8163929	1980 singles
Q6278608	1920s cars
Q11811782	Stage names
Q6938680	Discontinued software
Q6632123	Pen names
Q7046061	Animated characters
Q6606342	Athletes on Wheaties boxes
Q6640427	Sportswomen
Q6811469	Banned political parties
Q376479	Banned films
Q374709	Chess openings
Q212664	Sports
Q6618930	Entrepreneurs
Q7466917	Musicals
Q2507328	Cocktails
Q2678215	Candies
Q450779	Hairstyles
Q11707952	Programming languages
Q2600160	Board games
Q6625475	Liqueurs
Q17105506	Energy resources
Q233327	Car brands
Q6628565	Military tactics
Q51805	Star Wars characters
Q1053077	Mythological places
Q7784185	Cyberpunk films
Q7498272	Star Wars creatures
Q13353395	Time travelers
Q20900298	Fictional islands
Q6379792	Exploration ships
Q2733646	Heavy metal bands
Q6636523	Restaurant chains
Q35094	National capitals
Q6357667	Cigar brands
Q2708098	Apollo missions
Q6629083	Most popular dog breeds (Popular dog breeds)
Q16375	Star Trek characters
Q267149	The Simpsons characters
Q1368268	Most expensive paintings
Q3511268	Video game franchises
Q571113	Glossary of chess
Q1863553	Hip hop musicians
Q47226	South Park characters
Q17088638	Drinking games
Q16000160	Fictional pirates
Q248137	Etruscan cities
Q8691332	Obsolete occupations
