KW	JA	TC	id	name	names	is bad	type	valid members count	valid members ratio	nonavailable members count	nonavailable members ratio	collection name probability	@
		3	Q8297418	Bengali people	alayaf, diamirza, sushmitasen, ranimukerji, manojkumar, tigershroff, adityaseal, annukapoor, prannoyroy, subrataroy	0,008	human	150	0,91	9	0,06	-21,03	
		2	Q15070387	Climax games	returnal, diablo, rtype, overlord, legoracers, ghostrider, deadnation, sudeki, resogun, bubsy2	0,01	video game	73	0,55	13	0,18	-21,09	
		1	Q6642865	Terrorism films	skyfall, zootopia, beast, argo, therock, truelies, speed, munich, drno, 12strong	0,008	film	184	0,71	97	0,53	-21,13	
		3	Q7148686	Indian royalty	tipusultan, gajsingh, kempegowdai, bhojraj, devyanirana, susima, birjisqadr, karnisingh, himanishah, bhawanisingh	0,008	human	153	0,94	4	0,03	-21,27	
		3	Q262158	Greek writers	iondragoumis, nikosdimou, yiannisritsos, odysseaselytis, kostispalamas, penelopedelta, marodouka, nikoskavadias, giorgosseferis, nikoskazantzakis	0,006	human	143	0,59	0	0	-21,28	
		2	Q3243746	Quebec films	incendies, mrnobody, mommy, aline, screamers, maelstrom, starbuck, crazy, heartbeats, falconlake	0,007	film	1282	0,63	292	0,28	-21,37	
		5	Q6628565	Military tactics	blitzkrieg, siege, ambush, pocket, charge, shockandawe, patrolling, smokescreen, breakout, firesupport	0,0072	military tactics	28	0,07	13	0,48	-21,38	
		1	Q6591726	Nepalese people	nirmalpurja, apasherpa, parijat, rohitchand, mahabirpun, tenzingnorgay, himanishah, rekhathapa, manishakoirala, angrita	0,002	human	159	0,87	4	0,03	-21,43	
		1	Q18055180	Chechen people	ramzankadyrov, kylesnyder, alualkhanov, akhmadkadyrov, shamilbasayev, khamzatchimaev, zelimkhan, aminaokueva, arbibarayev, umarsalamov	0,008	human	143	0,67	3	0,02	-21,44	
		1	Q6377381	Indian journalists	prannoyroy, swetasingh, barkhadutt, ravishkumar, dhruvrathee, aroonpurie, sumanbery, javedanand, vinoddua, anujdhar	0,01	human	234	0,43	18	0,08	-21,45	
		3	Q6622424	Highest airports	jomsomairport, uyuniairport, sanluisairport, manangairport, qamdobamdaairport, tenzinghillaryairport, simikotairport, golmudairport, alcantariairport, lhasagonggarairport	0,008	airport	49	0,41	0	0	-21,5	
		4	Q7450455	Religious paintings	theangelus, shakuntala, stgeorge, sayinggrace, ghentaltarpiece, aburialatornans, burialofstlucy, saintcatherine, titusasamonk, ajewishwedding	0,008	painting	65	0,9	5	0,08	-21,51	
		1	Q8863750	Transgender men	brandonteena, harryallen, yanceford, camlyman, roberteads, viktoriafdi, alexhai, rhysernst, michaeldillon, mariusmason	0,006	human	50	0,94	1	0,02	-21,76	
		5	Q6324055	Space telescopes	gaia, chips, planck, echo, euclid, hipparcos, xmmnewton, spektrrg, astrosat, plato	0,006	space observatory	106	0,58	31	0,29	-21,81	
		1	Q6641578	Structural engineers	freiotto, gustaveeiffel, temelkotil, marcseguin, peterrice, henrytyang, maoyisheng, wernersobek, tungyenlin, sarahguppy	0,012	human	217	0,95	4	0,02	-21,84	
		1	Q7215192	Iron minerals	bornite, augite, pyrrhotite, sugilite, wurtzite, eudialyte, chalcopyrite, fayalite, cobaltite, taenite	0,006	mineral species	75	0,84	6	0,08	-21,88	
		1	Q7766370	Bandai games	devilman, akumakun, meteos, ribbitking, sailormoon, ninjakid, crisisbeat, tailconcerto, tetrisaxis, luminesii	0,01	video game	114	0,86	15	0,13	-21,94	
		4	Q6636859	Rock musicals	rent, kinkyboots, chess, hairspray, godspell, aida, thewiz, once, xanadu, onyourfeet	0,008	dramatico-musical work, musical	73	0,21	29	0,4	-21,96	
		3	Q7066567	Indian poets	sukumarray, ghananand, vanidasan, mamtakalia, joygoswami, arunkamal, kalidasroy, kazinazrulislam, jibananandadas, sarojdutta	0,012	human	110	0,99	0	0	-22,04	
		1	Q2248804	MSX games	discovery, pacman, jumpandrun, eroge, donkeykong, snake, metalgear, actiongame, contra, shootemup	0,012	video game	734	0,34	191	0,37	-22,1	
		1	Q7026033	French bankers	jacquescur, albertkahn, pascallamy, edouardstern, renebousquet, fredericoudea, jeanchalopin, lionelzinsou, paulmentre, jeanlemierre	0,01	human	152	0,97	3	0,02	-22,18	
		3	Q7028095	Turkish scientists	aliqushji, erdalnonu, umraninan, kerimerim, filizali, mustafatuna, pnarkur, smailakbay, mehmetaydn, smailbesikci	0,012	human	46	0,96	0	0	-22,2	
		1	Q8419833	Environmental economists	janejacobs, gregmankiw, hermandaly, ronaldcoase, johnalist, nikopaech, bjornlomborg, elinorostrom, alankrueger, walterblock	0,008	human	80	1	3	0,04	-22,24	
		1	Q48733635	Naga people	temsulaao, azphizo, sskhaplang, alobonaga, talimerenao, andreakevichusa, gaidinliupamei, dollykikon, armstrongpame, hksema	0	human	63	0,77	0	0	-22,25	
		1	Q7481456	Arab Christians	eliesaab, ibnbutlan, jehanbarbur, johnofdamascus, georgesabra, danielahmed, hunaynibnishaq, waraqahibnnawfal, ibnuthal, sumyafaashwa	0,008	human	34	0,92	4	0,12	-22,25	
		2	Q3152124	Polling organizations	bbc, thetimes, skynews, yougov, galluppoll, opinionpoll, dailymirror, ipsos, theage, acnielsen	0,012	organization	77	0,74	29	0,38	-22,28	
		1	Q5675143	Weapon designers	samuelcolt, geraldbull, uzielgal, georgluger, eugenestoner, aimolahti, chrisreeve, alanbond, yakovtaubin, mikhailkoshkin	0,01	human	55	0,98	2	0,04	-22,38	
		2	Q24885025	Apple operating systems	ios, iphoneos, macos, macosx, osx, unix, ios16, ios15, ipados, ipados16	0,008	operating system	132	0,65	23	0,18	-22,41	
		2	Q6616972	Soviet scientists	levvygotsky, yuryluzhkov, levgudkov, akselberg, guyseverin, yurisenkevich, victorskumin, sergeikhrushchev, shafikchokin, vladimirdemikhov	0,008	human	79	0,99	0	0	-22,45	
		2	Q6598864	Swiss architects	lecorbusier, maxfrisch, mariobotta, maxbill, hannesmeyer, peterzumthor, albertfrey, maxdudler, carlomaderno, brunoweber	0,012	human	141	0,59	5	0,04	-22,49	
		3	Q5114196	Baseball video games	actiongame, wiisports, browsergame, blaseball, mlbtheshow22, baseball, thebigs, basesloaded, basewars, mlbtheshow21	0,008	video game	106	0,26	13	0,12	-22,57	
		2	Q3244026	SNK games	neogeo, koudelka, neogeocd, metalslug, metalslug7, metalslug2, metalslugx, metalslug3, metalslug6, fatalfury2	0,004	game, video game	392	0,74	33	0,13	-22,59	
		3	Q7024386	Polish musicians	smolasty, zabson, tede, mikolajrej, jaceklagwa, djtomekk, schafter, leorosner, jozefskrzek, tomaszzietek	0,01	human	54	0,96	3	0,06	-22,6	
		2	Q6607323	Basketball video games	actiongame, nba2k22, nba2k20, nba2k21, nba2k14, nbajam, nba2k16, nba2k18, nba2k13, nbalive19	0	video game	165	0,41	15	0,09	-22,61	
		1	Q2562052	Dutch architects	remkoolhaas, hpberlage, winymaas, martstam, pietblom, aldovaneyck, pieterpost, jaapbakema, janwils, henripieck	0,012	human	183	0,71	0	0	-22,61	
		4	Q8447540	Fiat vehicles	fiat500, fiat126, fiatducato, fiatpunto, fiatmille, fiatuno, fiat124, fiat131, fiat600, fiat850	0,008	automobile model	138	0,86	10	0,07	-22,67	
		2	Q6501450	Vietnamese writers	nguyntuan, xuandiu, tohoai, vtrngphng, leminhkhue, nhtlinh, ngtrncon, phmquynh, huyduc, levanhu	0,006	human	62	1	4	0,06	-22,69	
		1	Q8302851	Blind politicians	ahmedyassin, garethward, cyrushabib, olegsmolin, thomasgore, enricodandolo, davidpaterson, davidblunkett, joaquinbalaguer, roberttoombs	0,01	human	87	1	3	0,03	-22,74	
		4	Q6569065	Disney video games	mobilegame, epicmickey, cars, toystory3, earlyaccess, cars2, ducktales, toystory, tron, walle	0,01	video game	216	0,4	48	0,23	-22,81	
		1	Q754861	Faroese people	deadmau5, auradione, n0tail, naddoddur, reiley, timseverin, paljoensen, herijoensen, ruthsmith, jacobhaugaard	0,004	Faroese, human	122	0,77	3	0,02	-22,83	
		4	Q7036167	Russian painters	andreirublev, dionisius, janchrucki, chaimsoutine, nikassafronov, karlishuns, nadiabenois, abelpann, vladimirtatlin, pyotrbasin	0,012	human	107	0,93	1	0,01	-22,84	
		1	Q7026009	Italian bankers	mariodraghi, charlesponzi, robertocalvi, guidocarli, mauriziosarri, chiccotesta, andreaorcel, cosimodemedici, lucapitti, enricocuccia	0,008	human	91	0,93	3	0,03	-22,91	
		2	Q2909649	Dutch poets	hugoclaus, bartchabot, hadewijch, jbernlef, jacobcats, nescio, lucebert, toonhermans, jancampert, remcocampert	0,004	human	128	0,53	4	0,03	-23,09	
		4	Q6304782	Spanish explorers	inessuarez, estevanico, frankcuesta, juandefuca, kitinmunoz, diegocolumbus, lopedeaguirre, pedrotafur, jordanus, andresnino	0,01	human	96	0,98	1	0,01	-23,12	
		2	Q8757614	Perennial plants	catnip, dahlia, lovage, nepeta, alcea, bellisperennis, salviayangii, phloxsubulata, phygelius, phormiumtenax	0,01	taxon	64	0,96	4	0,06	-23,13	
		1	Q6285327	French nobility	lahire, madamedubarry, chrodbert, louisdebreze, alicedejanze, pauldefoix, micheldemontaigne, annadenoailles, louisedebreze, bernadettechirac	0,008	human	147	0,84	1	0,01	-23,22	
		1	Q1839311	Millennium episodes	millennium, irresistible, seasonfinale, pilot, gehenna, anamnesis, maranatha, themikado, monster, 522666	0,01	television series episode	48	0,37	27	0,56	-23,23	
		3	Q5872328	Czech composers	gustavmahler, antonindvoak, leosjanacek, josefsuk, juliusfucik, bedichsmetana, xindlx, pavelhaas, georgbenda, franzbenda	0,012	human	255	0,81	2	0,01	-23,24	
		3	Q6299307	Electronic musical instruments	drumkit, theremin, mellotron, sampler, vocoder, stylophone, trautonium, utau, drummachine, omnichord	0,01	musical instrument	59	0,44	17	0,29	-23,25	
		1	Q8544967	Indian diplomats	faizi, shashitharoor, natwarsingh, abhaykumar, shaktikantadas, amritlugun, adgorwala, uksinha, atulkhare, rafiqzakaria	0,008	human	71	0,99	3	0,04	-23,33	
		1	Q6564574	Brazilian architects	ederjofre, luciocosta, aleijadinho, linabobardi, oscarniemeyer, ruyohtake, claraant, marciokogan, tebas, franzheep	0,008	human	73	0,86	3	0,05	-23,33	
		1	Q9204480	Ornamental plants	nandina, rosabanksiae, rosachinensis, lagunaria, antirrhinummajus, caladiumbicolor, sennapendula, acalyphahispida, coprosmarepens, carexmorrowii	0,008	taxon	50	0,93	0	0	-23,4	
		4	Q6607984	Bluegrass bands	thedillards, thedeadsouth, nickelcreek, thepetersens, oldintheway, ironhorse, dellamae, hotrize, newsouth, unionstation	0,012	musical group	88	0,57	12	0,14	-23,4	
		3	Q8500226	Greek painters	elgreco, apelles, zeuxis, polygnotus, parrhasius, protogenes, timarete, euphranor, ino, apollodorus	0,006	human	162	0,69	5	0,04	-23,43	
		1	Q8528115	Hungarian journalists	belakun, endready, laszlobiro, theodorherzl, sandormarai, zsoltbayer, lajoskossuth, gyulakrudy, tefanfori, timeaszabo	0,01	human	144	1	1	0,01	-23,43	
		2	Q19875275	Sydney radio stations	triplej, 2gb, 2ch, smooth, smoothfm, doublej, sbspopdesi, sbsradio, sbsradio2, sbsradio3	0,004	radio station	86	0,4	16	0,19	-23,47	
		1	Q1239136	Armenian writers	sayatnova, hamosahyan, raffi, vahanterian, nardos, paruyrsevak, muratsan, frik, siamanto, gevorgemin	0,008	human	200	0,63	5	0,03	-23,47	
		1	Q3244064	Puzzle video games	stray, tetris, undertale, portal2, deltarune, myst, 2048, catherine, angrybirds, pikmin	0,009	puzzle video game, video game	1155	0,73	267	0,23	-23,48	
		1	Q658463	Hungarian architects	ernrubik, miklosybl, karolykos, marcelbreuer, alfredhajos, imresteindl, paullaszlo, odonlechner, ignacalpar, jozsefhild	0,002	human	126	0,61	3	0,03	-23,54	
		1	Q1862259	Georgian writers	besiki, vazhapshavela, levangotua, shotarustaveli, ladoasatiani, nodardumbadze, akakitsereteli, otarchiladze, anakalandadze, leokiacheli	0,01	human	102	0,51	0	0	-23,57	
		3	Q6631766	Optical illusions	thedress, ambigram, afterimage, neckercube, amesroom, rubinvase, blivet, moonillusion, penrosestairs, figureground	0,008	optical illusion	68	0,44	6	0,09	-23,58	
		1	Q6420812	Iranian Jews	daniel, mordecai, shauntoub, shaulmofaz, homasarshar, moshekatsav, danahdoot, sammizrahi, bobyari, isaaclarian	0,006	human	92	0,91	6	0,07	-23,6	
		1	Q6570891	Finnish politicians	sannamarin, tonyhalme, ristoryti, birgerjarl, eskoaho, timosoini, urhokekkonen, sauliniinisto, liandersson, tarjahalonen	0,008	human	136	0,91	2	0,02	-23,61	
		4	Q10183730	Mountaineering films	everest, 127hours, alive, cliffhanger, northface, theclimb, meru, edie, alaska, shoottokill	0,008	film	102	1	27	0,29	-23,61	
		1	Q6593442	Pakistani scientists	abdussalam, nazirahmed, riazuddin, umarsaif, adilnajam, naweedsyed, asadaabidi, abdulqadeerkhan, attaurrahman, tajhaider	0,002	human	104	0,95	2	0,02	-23,63	
		3	Q6435814	Cuban musicians	xaviercugat, davelombardo, reyruiz, cimafunk, emilioestefan, pupicampo, olgaguillot, raulpaz, xalfonso, renetouzet	0,008	human	64	0,97	2	0,03	-23,63	
		1	Q8448354	Fictional lesbians	ellie, shera, katekane, trinikwan, ericahahn, alexvause, snoop, americachavez, lexa, tracer	0,012	fictional character	118	0,71	43	0,37	-23,63	
		1	Q1506558	Common microcontrollers	esp32, riscv, esp8266, atmelavr, armcortexm, pic24, picmicro, stm32, 8051, intel8051	0,012	microcontroller	91	0,37	5	0,06	-23,64	
		1	Q6596096	Russian physicists	levlandau, yurimilner, andregeim, igortamm, abramioffe, oleglosev, ilyafrank, pyotrkapitsa, igorirodov, igorkurchatov	0,012	human	323	0,58	4	0,01	-23,68	
		0	Q7214898	Deaths from fire	empedocles, annakaren, alilandi, suesanknorr, fannycano, kajsathoor, tedherold, metinaltok, blotsweyn, stevemarriott	0,004	human	139	0,89	4	0,03	-23,71	
		1	Q7158333	Lithium compounds	lithiumoxide, flibe, hemolithin, lselectride, lithiumhydride, flinak, lithiumiodide, lithiumnitride, lithiumhydroxide, lithiumfluoride	0,008	chemical compound	51	0,82	1	0,02	-23,78	
		1	Q1989278	Regions of Quebec	laval, sherbrooke, gatineau, nunavik, monteregie, lavalquebec, shawinigan, estrie, outaouais, cotenord	0,006	administrative region of Quebec	53	0,31	8	0,22	-23,81	
		1	Q1860732	Companies of Mexico	walmart, pepsico, hsbc, att, citigroup, suntory, grupobimbo, albertsons, volaris, aeromexico	0,008	business, company	147	0,55	97	0,66	-23,81	
		1	Q7078067	Indonesian politicians	sukarni, ibnusutowo, omardhani, bmdiah, erosdjarot, joopave, adjiemassaid, hasanbasry, amrudaulay, ramsesohee	0,012	human	118	0,99	2	0,02	-23,88	
		1	Q6632285	People from Belarus	kirkdouglas, isaacasimov, olgakorbut, pavelbure, marcchagall, ralphlauren, shimonperes, levvygotsky, bianka, vasilbykau	0,008	human	188	0,79	17	0,09	-23,89	
		1	Q8872486	Tribal chiefs	birsamunda, powhatan, massasoit, uncas, edeko, esbernsnare, gundadhur, asserrig, nemacolin, cockacoeske	0,01	human	63	0,72	3	0,05	-23,89	
		3	Q6576220	Korean painters	davidchoe, kimhongdo, shinyunbok, nahyesok, jeongseon, kimhwangi, shinsaimdang, parkseobo, leejungseob, ahngyeon	0,01	human	61	0,79	5	0,08	-23,93	
		1	Q7216002	Kurdish writers	musaanter, mehmeduzun, zehradogan, mehdizana, nuridersimi, faikbulut, bachtyarali, gultanksanak, ahmetarvasi, kemalburkay	0,012	human	49	0,98	0	0	-23,93	
		2	Q7521076	American independent films	thewhale, coda, midsommar, hereditary, getout, seven, whiplash, thefallout, standbyme, blackswan	0,01	film	4996	1	1775	0,36	-23,94	
		1	Q7031318	French sculptors	andrederain, julesdalou, claussluter, aslan, gislebertus, tevavictor, jamespradier, marceljean, carolinetresca, aristidemaillol	0,006	human	68	0,92	4	0,06	-23,96	
		3	Q7164443	Indian television series	biggboss, mai, aranyak, udaan, khichdi, mannsundar, kaliveedu, humsafars, phulwa, kayamath	0,002	television series	156	0,69	23	0,15	-23,97	
		5	Q1709498	Massively multiplayer online games	roblox, warthunder, secondlife, mmog, agario, runescape, actiongame, eveonline, slitherio, vrchat	0,006	game, video game	198	0,68	68	0,38	-23,98	
		1	Q8576106	Korean generals	yisunsin, gimyusin, choihonghi, jangbogo, choeyeong, goofbalhae, gyebaek, wongyun, kimwonbong, gwonyul	0,01	human	88	1	3	0,03	-23,98	
		1	Q7068820	Iranian politicians	ensiehkhazali, emadafroogh, hadimanafi, nasraldin, meysamlatifi, mohammadmokhber, yadollahjavani, nasserkanaani, mohammadkhamenei, qasemsaedi	0,01	human	61	1	0	0	-23,99	
		2	Q17002661	Japanese television series	pokemon, bleach, codegeass, sasuke, yurionice, bakugan, doraemon, massan, garo, yugioh5ds	0,008	Japanese television series	183	0,43	28	0,16	-24,01	
		1	Q2347815	Sim video games	thesims4, thesims, thesims3, spore, thesims2, simcity, simcity4, mysims, simtower, darkspore	0,01	video game	72	0,63	11	0,16	-24,06	
		0	Q8567827	Joint suicides	osamudazai, stefanzweig, lauramarx, huisheng, maxlinder, andregorz, nogimaresuke, dongxian, fulei, imresoos	0,012	human	60	0,92	3	0,05	-24,08	
		1	Q7028358	Brazilian composers	ritalee, cazuza, micheltelo, belchior, cartola, nandoreis, zeramalho, toquinho, noelrosa, ivanlins	0,006	human	363	0,85	24	0,09	-24,1	
		1	Q7234585	People from Hamburg	elton, fasiajansen, leoniehanne, holgermeins, lokischmidt, petraschelm, marypunjer, britthagedorn, arneschonbohm, olivergeissen	0,008	human	97	0,97	3	0,03	-24,12	
		1	Q6598589	Sundanese people	raffiahmad, marufamin, ridwankamil, rossa, sule, nikeardila, rhomairama, alisadikin, dewisartika, happysalma	0,012	human	79	0,78	7	0,09	-24,18	
		1	Q7163434	Historical television series	jeyran, medici, ekaterina, granhotel, frontier, thespy, johnadams, mrsamerica, borgia, tut	0,006	television series	119	0,82	31	0,26	-24,22	
		1	Q3250372	Irem games	rtype, loderunner, kungfu, rawdanger, spelunker, inthehunt, moonpatrol, hook, rtypefinal, rtypeii	0,012	video game	76	0,77	13	0,17	-24,22	
		1	Q684553	Taiwanese writers	sanmao, liao, chiungyao, chriswang, huangan, kenchu, laihe, linhwaimin, jimmyliao, sophiechang	0,008	human	79	0,43	11	0,14	-24,25	
		1	Q8622019	Rail shooters	starfox64, starfox, killer7, asuraswrath, railshooter, rez, galgun, virtuacop, timecrisis, starwars	0,01	video game	171	0,96	46	0,27	-24,31	
		1	Q19839602	Villages in China	taktser, nanjie, hongcun, zhelaizhai, cuiheng, xidi, huaxivillage, boshe, fangchuan, sanjiazi	0,002	village	51	0,39	7	0,14	-24,37	
		3	Q7090026	Lebanese musicians	aramalikian, anees, the4cats, assirahbani, jadshwery, eliasrahbani, ibrahimmaalouf, aleph, khodralama, issamhajali	0,012	human	30	0,94	4	0,13	-24,38	
		1	Q3430163	Finnish composers	jeansibelius, toivokuula, kaleviaho, uunoklami, jormapanula, akisirkesalo, heinokaski, pekkokappi, kaijasaariaho, eiccatoppinen	0,002	human	117	0,62	0	0	-24,39	
		1	Q7215173	Sulfate minerals	gypsum, baryte, anhydrite, celestine, mirabilite, alunite, epsomite, ettringite, polyhalite, anglesite	0,012	mineral species	151	0,93	7	0,05	-24,41	
		1	Q3834367	Burgher people	jamiedurie, keithpotger, guysebastian, nigelbarker, duncanwhite, geoffjansz, georgekeyt, alstonkoch, carlmuller, michaelondaatje	0,006	human	58	0,65	3	0,05	-24,42	
		2	Q6643751	Towns in Ontario	toronto, ottawa, guelph, barrie, brantford, cobourg, moosonee, orillia, brockville, kapuskasing	0,008	lower-tier municipality, single-tier municipality	108	0,53	18	0,17	-24,42	
		2	Q7251162	Techno music groups	yello, front242, ivesound, panpot, kalwiremi, 3ballmty, laserdance, ohgr, ssv, btribe	0,01	musical group	24	0,86	8	0,33	-24,58	
		1	Q6632467	People from Hastings	alanturing, jimihendrix, annelister, paulayates, donovan, amberrudd, andybell, tomchaplin, jobrand, suffragette	0,012	human	300	0,83	36	0,14	-24,58	
		2	Q461969	Newspapers in Australia	epochtimes, theage, heraldsun, theepochtimes, themercury, theaustralian, thecourier, koorimail, theadvertiser, indaily	0,01	newspaper	90	0,24	19	0,22	-24,59	
		1	Q6580361	Mountains of Iran	sabalan, dena, sahand, tochal, taftan, cheekhadar, mountdamavand, mountparaw, hazaran, eynali	0,004	mountain	58	0,83	7	0,12	-24,6	
		1	Q1093437	Banks in Singapore	hsbc, wellsfargo, icicibank, bnpparibas, barclays, ubs, ubsag, citibank, inggroup, dbsbank	0,011	bank	98	0,3	72	0,73	-24,6	
		1	Q1860766	Companies of Turkey	beko, baykar, kocholding, arcelik, bim, turkcell, isuzumotors, tofas, vestel, migrosturk	0,006	company, business	121	0,39	73	0,61	-24,61	
		2	Q1959342	Museums in India	inskursura, indianmuseum, teakmuseum, patnamuseum, gandhismriti, manibhavan, biharmuseum, marblepalace, bharatbhavan, napiermuseum	0,012	museum, architectural structure	195	0,42	4	0,02	-24,71	
